YPD37,YPD37H,YPDAA,YPD,gen
1.119047619047619,0.55,1.5,1.1627906976744187,0
1.5476190476190477,0.4,1.6458333333333333,1.2325581395348837,200
1.3571428571428572,0.95,1.4375,1.3488372093023255,400
1.380952380952381,0.7,1.7708333333333333,1.5348837209302326,600
1.4761904761904763,0.45,1.5625,1.627906976744186,800
1.2619047619047619,0.45,1.4375,1.2325581395348837,1000
1.2142857142857142,0.95,1.4166666666666667,1.255813953488372,0
1.4047619047619047,0.5,1.4791666666666667,1.4651162790697674,200
1.1666666666666667,0.35,1.2916666666666667,1.0,400
1.3571428571428572,0.4,1.375,1.1162790697674418,600
1.4047619047619047,0.45,1.5833333333333333,1.3255813953488371,800
1.5238095238095237,0.55,1.5,1.4186046511627908,1000
1.0,0.45,1.3958333333333333,1.069767441860465,0
1.4761904761904763,0.45,1.4375,1.302325581395349,200
1.5952380952380953,0.45,1.4375,1.4186046511627908,400
1.0714285714285714,0.35,1.4583333333333333,1.302325581395349,600
1.6666666666666667,0.6,1.3125,1.7209302325581395,800
1.5238095238095237,0.4,1.4375,1.7209302325581395,1000
1.3095238095238095,0.65,1.5625,1.2093023255813953,0
1.7857142857142858,0.35,1.6041666666666667,1.8837209302325582,200
1.1904761904761905,0.35,1.8333333333333333,1.372093023255814,400
1.380952380952381,0.55,1.875,1.1627906976744187,600
1.3095238095238095,0.75,1.5833333333333333,1.4883720930232558,800
1.2619047619047619,0.35,1.7708333333333333,1.2325581395348837,1000
1.5714285714285714,0.3,1.8541666666666667,1.1162790697674418,0
1.4523809523809523,0.55,1.6875,1.4651162790697674,200
1.2619047619047619,0.6,1.875,1.186046511627907,400
1.4047619047619047,0.5,1.75,1.1627906976744187,600
1.1904761904761905,0.5,1.6041666666666667,1.3488372093023255,800
1.4047619047619047,0.55,1.6458333333333333,1.3255813953488371,1000
1.6666666666666667,0.3,1.4375,1.302325581395349,0
1.6428571428571428,0.55,1.75,1.4651162790697674,200
1.2857142857142858,0.6,1.5833333333333333,1.558139534883721,400
1.119047619047619,0.6,1.9166666666666667,1.372093023255814,600
1.3333333333333333,0.55,1.5625,1.2093023255813953,800
1.1904761904761905,0.65,1.75,1.372093023255814,1000
1.1428571428571428,0.2,1.6458333333333333,1.9767441860465116,0
1.2619047619047619,0.75,1.3541666666666667,1.3488372093023255,200
1.1904761904761905,0.75,1.6875,1.5116279069767442,400
1.1904761904761905,0.5,1.4375,1.302325581395349,600
1.5,0.4,1.6666666666666667,1.372093023255814,800
1.4047619047619047,0.8,1.3541666666666667,1.2790697674418605,1000
1.4285714285714286,1.0,1.2708333333333333,1.255813953488372,0
1.4523809523809523,0.7,1.3541666666666667,1.697674418604651,200
